MAL_ID,Name,Type
1,Cowboy Bebop,TV
5,Cowboy Bebop: Tengoku no Tobira,Movie
6,Trigun,TV
7,Witch Hunter Robin,TV
8,Bouken Ou Beet,TV
15,Eyeshield 21,TV
16,Hachimitsu to Clover,TV
17,Hungry Heart: Wild Striker,TV
20,Naruto,TV
21,One Piece,TV
22,Tennis no Ouji-sama,TV
23,Ring ni Kakero 1,TV
24,School Rumble,TV
25,Sunabouzu,TV
27,Trinity Blood,TV
29,Zipang,TV
30,Neon Genesis Evangelion,TV
31,Neon Genesis Evangelion: Death & Rebirth,Movie
33,Kenpuu Denki Berserk,TV
43,Koukaku Kidoutai,Movie
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA
45,Rurouni Kenshin: Meiji Kenkaku Romantan,TV
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Movie
47,Akira,Movie
48,.hack//Sign,TV
49,Aa! Megami-sama!,OVA
50,Aa! Megami-sama! (TV),TV
51,Tenshi Kinryouku,OVA
52,Kidou Tenshi Angelic Layer,TV
53,Ai Yori Aoshi,TV
54,Appleseed (Movie),Movie
55,Arc the Lad,TV
56,Avenger,TV
57,Beck,TV
58,Blue Gender,TV
59,Chobits,TV
60,Chrno Crusade,TV
61,D.N.Angel,TV
62,D.C.: Da Capo,TV
63,DearS,TV
67,Basilisk: Kouga Ninpou Chou,TV
68,Black Cat (TV),TV
69,Cluster Edge,TV
71,Full Metal Panic!,TV
72,Full Metal Panic? Fumoffu,TV
73,Full Metal Panic! The Second Raid,TV
74,Gakuen Alice,TV
75,Soukyuu no Fafner: Dead Aggressor,TV
76,Mahou Shoujo Lyrical Nanoha,TV
77,Mahou Shoujo Lyrical Nanoha A's,TV
80,Mobile Suit Gundam,TV
81,Mobile Suit Gundam: The 08th MS Team,OVA
82,Mobile Suit Gundam 0080: War in the Pocket,OVA
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,Movie
84,Mobile Suit Gundam 0083: Stardust Memory,OVA
85,Mobile Suit Zeta Gundam,TV
86,Mobile Suit Gundam ZZ,TV
87,Mobile Suit Gundam: Char's Counterattack,Movie
88,Mobile Suit Gundam F91,Movie
89,Mobile Suit Victory Gundam,TV
90,Mobile Suit Gundam Wing,TV
92,After War Gundam X,TV
93,Mobile Suit Gundam SEED,TV
94,Mobile Suit Gundam SEED Destiny,TV
95,Turn A Gundam,TV
96,Mobile Fighter G Gundam,TV
97,Last Exile,TV
98,Mai-HiME,TV
100,Shin Shirayuki-hime Densetsu Prétear,TV
101,Air,TV
102,Aishiteruze Baby★★,TV
104,Ayashi no Ceres,TV
105,Boys Be...,TV
106,Hana yori Dango,TV
107,Ou Dorobou Jing,TV
108,Ou Dorobou Jing in Seventh Heaven,OVA
109,Bakuretsu Tenshi,TV
110,Chuuka Ichiban!,TV
111,Corrector Yui,TV
112,Chou Henshin Cosprayers,TV
114,Sakigake!! Cromartie Koukou,TV
115,El Hazard: The Alternative World,TV
117,El Hazard: The Magnificent World,OVA
121,Fullmetal Alchemist,TV
122,Full Moon wo Sagashite,TV
123,Fushigi Yuugi,TV
124,Fushigi Yuugi: Eikouden,OVA
125,Futakoi,TV
126,Futakoi Alternative,TV
127,Gate Keepers,TV
128,Gate Keepers 21,OVA
129,Gensoumaden Saiyuuki,TV
130,Saiyuuki Reload,TV
131,Saiyuuki Reload Gunlock,TV
132,GetBackers,TV
133,Green Green,TV
134,Gunslinger Girl,TV
135,Hikaru no Go,TV
136,Hunter x Hunter,TV
141,Jinki:Extend,TV
142,Kamikaze Kaitou Jeanne,TV
143,Kannazuki no Miko,TV
144,Kanon,TV
145,Kareshi Kanojo no Jijou,TV
146,Kono Minikuku mo Utsukushii Sekai,TV
147,Kimi ga Nozomu Eien,TV
148,Kita e.: Diamond Dust Drops,TV
149,Loveless,TV
150,Blood+,TV
151,Re: Cutey Honey,OVA
152,Solty Rei,TV
154,Shaman King,TV
155,X/1999,Movie
156,X,TV
157,Mahou Sensei Negima!,TV
158,Maria-sama ga Miteru,TV
159,Boukyaku no Senritsu,TV
161,Peace Maker Kurogane,TV
163,Power Stone,TV
164,Mononoke Hime,Movie
165,RahXephon,TV
167,Scrapped Princess,TV
168,s.CRY.ed,TV
169,Shingetsutan Tsukihime,TV
170,Slam Dunk,TV
171,Strange Dawn,TV
173,Tactics,TV
174,Tenjou Tenge,TV
175,Tokyo Underground,TV
176,Triangle Heart: Sweet Songs Forever,OVA
177,Tsubasa Chronicle,TV
179,Ultra Maniac OVA,OVA
180,Vandread,TV
181,Vandread: The Second Stage,TV
182,Tenkuu no Escaflowne,TV
183,Whistle!,TV
184,Xenosaga The Animation,TV
185,Initial D First Stage,TV
186,Initial D Second Stage,TV
187,Initial D Third Stage,Movie
188,Gosenzo San'e,OVA
189,Love Hina,TV
190,Love Hina Again,OVA
191,Love Hina Christmas Special: Silent Eve,Special
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,Special
193,Maburaho,TV
194,Macross Zero,OVA
195,Onegai☆Teacher,TV
196,Onegai☆Twins,TV
197,Rizelmine,TV
198,Speed Grapher,TV
199,Sen to Chihiro no Kamikakushi,Movie
200,Tenshi na Konamaiki,TV
201,Video Girl Ai,OVA
202,Wolf's Rain,TV
203,Words Worth,OVA
204,Yumeria,TV
205,Samurai Champloo,TV
206,Lodoss-tou Senki: Eiyuu Kishi Den,TV
207,Lodoss-tou Senki,OVA
210,Ranma ½,TV
212,Project A-Ko,Movie
213,Pia Carrot e Youkoso!!,OVA
214,Pia Carrot e Youkoso!! 2,OVA
215,Pia Carrot e Youkoso!! 2 DX,OVA
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,Movie
217,Shin Angel,OVA
219,Kidou Senkan Nadesico: The Prince of Darkness,Movie
220,Kuro no Danshou,OVA
221,Mezzo Forte,OVA
222,Mezzo DSA,TV
223,Dragon Ball,TV
225,Dragon Ball GT,TV
226,Elfen Lied,TV
228,Jigoku Shoujo,TV
229,Ninin ga Shinobuden,TV
230,Air Master,TV
231,Asagiri no Miko,TV
233,Daa! Daa! Daa!,TV
234,Dan Doh!!,TV
235,Detective Conan,TV
236,E's Otherwise,TV
237,Koukyoushihen Eureka Seven,TV
238,Rekka no Honoo,TV
239,Gankutsuou,TV
241,Girls Bravo: First Season,TV
242,Gokusen,TV
245,Great Teacher Onizuka,TV
247,Harukanaru Toki no Naka de: Hachiyou Shou,TV
250,Konjiki no Gash Bell!!,TV
251,Kyou kara Maou!,TV
252,Madlax,TV
253,Jungle wa Itsumo Hare nochi Guu,TV
254,Jungle wa Itsumo Hare nochi Guu Deluxe,OVA
255,Jungle wa Itsumo Hare nochi Guu Final,OVA
256,Hoshi no Koe,OVA
257,Ikkitousen,TV
258,Hitsuji no Uta,OVA
259,Happy☆Lesson,OVA
260,Happy☆Lesson (TV),TV
261,Happy☆Lesson: Advance,TV
262,Happy☆Lesson: The Final,OVA
263,Hajime no Ippo,TV
264,Hajime no Ippo: Champion Road,Special
265,Hajime no Ippo: Mashiba vs. Kimura,OVA
266,Gunparade March: Arata Naru Kougunka,TV
269,Bleach,TV
270,Hellsing,TV
271,Gad Guard,TV
272,Noir,TV
273,Mahoutsukai ni Taisetsu na Koto,TV
274,Kiddy Grade,TV
276,Mahoromatic: Automatic Maiden,TV
277,Mahoromatic: Motto Utsukushii Mono,TV
279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,TV
281,Akane Maniax,OVA
283,Akage no Anne,TV
284,Area 88 (TV),TV
285,Argento Soma,TV
286,B'T X,TV
287,Grappler Baki (TV),TV
288,Bakuten Shoot Beyblade,TV
289,Comic Party,TV
290,Seikai no Monshou,TV
291,D.C.S.S: Da Capo Second Season,TV
292,Dear Boys,TV
294,Divergence Eve,TV
296,Dragon Drive,TV
297,Grenadier: Hohoemi no Senshi,TV
298,.hack//Tasogare no Udewa Densetsu,TV
300,3x3 Eyes,OVA
301,Cinderella Boy,TV
302,Mirai Shounen Conan,TV
305,Abashiri Ikka,OVA
307,Kerokko Demetan,TV
308,Zettai Shounen,TV
311,Ace wo Nerae!,TV
313,Ace wo Nerae! (1979),Movie
314,Ace wo Nerae! 2,OVA
316,Nageki no Kenkou Yuuryouji,OVA
