MAL_ID,Synopsis
1,solar leaving surface planet earth solar police attempts peace aided referred cowboys team aboard individuals spiegel balanced partner jet black pair living chasing collecting rewards thrown addition meet genetically engineered highly memory loss strange kid edward crew dark balanced action light comedy space western classic smooth music
5,day life crew routine interrupted chasing target witnesses oil tanker suddenly causing mass mount strange disease spreading smoke blast price head supposed lives stake solution money sight crew springs action jet edward closely split pursue leads city individual investigations discover cover scheme pharmaceutical company reaches team realized
6,head reason waste oppose entire cities fun title leaves trail death destruction count dead eye contact rumors huge claims life violence costs crazy attitude planet insurance agents thompson attempt minimize impact public life death situations legendary summoned bring suffering unraveled principles pushed breaking
7,individuals powers mind control robin craft user italy japan organization japan division replacement killed divisions capture alive learn
8,dark century people suffering rule manipulate people hunt strongest continent boy dreams joining day result fault defeated dying life power weapons weapons passed passed carry dark century
15,shy kid starting school survive constantly accustomed running surviving school lot difficult school american football team witnesses incredible speed escape schemes running school team hoping fortunes japan school title protect precious star player team secretary hide identity christmas bowl annual attended football teams japan leading win christmas bowl transform freshman star player
16,arts college shares cheap apartment seniors failing graduate acts proper senior future fine spring day meets falls love sight arts university popular student harbors deep feelings tale youth love soul searching discovery complex relationships friends
17,lived shadow successful brother life professional player tired compared downgraded abandoned playing boy discovered team joins players dream professional players
20,moments prior birth huge fox attacked hidden village havoc leader village fourth life headed living struggles village burning desire leads friends deadly foes
21,roger king strongest grand capture execution roger government brought change death revealed existence piece brought grand age finding piece promises fame pinnacle glory title king enter boy standard definition popular fun reason pure exciting leads intriguing people ultimately promised hero crew travel grand experiencing crazy dark strong enemies reach fortunes piece
22,tennis harsh highly competitive numerous schools japan battle determine junior school commonly prominent battle team stronger sudden west determined prove escape shadow legendary father fine addition team prince tennis tennis players country hard day father personal expectations rest team fights dreams true
23,fulfill dead father aims title arena sister brother concentrate role learn battle rivals led growth maturity junior fighting rival battle
24,love nature trials school feelings boy likes sizable reputation situation properly convey feelings school friends school walk park complicate plight school romantic comedy situations win hearts desire
25,desert sand remains post japan fair population left dunes survival normal people spent sun desert offers opportunity person desert legendary reputation finishing jobs matter nature cost force crude destruction desert people desert weaknesses easily desert chaotic desert features bizarre cast violence destroyed learned damn
27,war races split separate race affiliated human empire humans deemed vatican war attempts avoid direct conflict combat terrorist organizations vatican implemented unit led agents investigate hopes day achieve peaceful unit seemingly fellow fierce joining unit partner agent sister troubled grow closer signs schemes dark forces path walk force memories hearts
29,improved class missile advanced ships entire japanese defense force crew lead executive officer running scheduled training exercises day fierce storm throws navigation systems temporary disarray minutes recovery crew shocked discover time june battle war letting history battle manage avoid conflict remain changing history crew dying save lives takes changing history
30,stands brink destruction hope lies hands agency united nations giant machines capable angels herald earth head organization seeks compatible pilots realize true potential defensive personnel head tactical operations chief scientist father time average life changed pilot unit fate written tale boy psychological drama ancient secrets beneath picture surface
31,decade passed catastrophic event impact time recovery select learned angels entities intention triggering impact rest called city tokyo father thrust struggle death mother father wishes repair shattered bonds brought pilot giant machine capable fighting angels unit forced battle wave wave threat boy caught middle plan affect future
33,born mother survival day day putting life moves band troop recruited leader white climbed ranks head offensive proves mighty addition force midland storm band recognition slowly black white assumed set era dark tale struggle path supporting power tragedy wheels fate
43,city advanced improvements citizens replace city public security responsible corruption terrorism dangerous threats shift strong major hacker master leaves trail victims stripped memories master body incredible power subordinates follow criminal trail parties including start forcing extremely complicated nature questions life meaning provide answers master
44,fear death hope live honest lives beneath moon boy witnesses murder boy softness heart desire protect innocent details bear kill earned reputation heart divided justice corruption fate nation actions
45,final era lived legendary feared killer country disappeared peak japanese revolution peaceful mention strikes hearts war veterans abandoned effort living attitude strong kill protecting weak day threatened claiming receiving stay temporarily tells save saving enemies emerge killer
46,war happy outcome watched friends family slashed freedom prosperity band desperate rebels sworn settle final score stands true identity fight personal
47,japan explosion caused boy powers city tokyo leads war iii prevent destruction captured custody heard restored city tokyo gang violence terrorism current government stands leads riding custom constant conflict rivals friend caught accident streets tokyo government institution develop government seeks desperate attempt prevent power bring city
48,called slight suspects hacker accompanying character form cat unable game answers avoiding players meets item takes form guardian promises protection harm leader players set investigate unable attempt hand
49,college student wrong food connected beautiful appears mirror kicked
50,humans granted human accident jokes stay granted suddenly living woman causing kicked male staying temple relationship uncomfortable unexpected
